ID_Funcionario,Departamento,Cargo,Nivel_Hierarquico,Estado,Genero,Etnia,Regime_Trabalho,Turno,Data_Admissao,Data_Desligamento,Motivo_Desligamento,Status,Salario_Bruto,Horas_Treinamento_Ano,Avaliacao_Desempenho,Dias_Falta_Ano,Beneficios
FUNC-0034,Tecnologia,Desenvolvedor Frontend Jr,Júnior,BA,Feminino,Pardo,CLT 44h,Noturno,2019-03-07,2019-12-06,Pedido do colaborador,Desligado,3557.58,4,3.4,0,Plano de Saúde|Stock Options|Gympass
FUNC-0035,Jurídico,Advogado Pl,Pleno,SP,Feminino,Pardo,CLT 44h,Home Office,2015-01-16,,,Ativo,14000.0,33,2.7,5,Vale Transporte|Seguro de Vida|Vale Refeição|Plano de Saúde
FUNC-0036,Marketing,Coordenador de Marketing,Especialista,SP,Feminino,Pardo,PJ,Home Office,2024-04-12,2024-10-18,Término de contrato,Desligado,12210.13,9,4.5,0,PLR|Gympass|Vale Refeição|Plano de Saúde|Home Office|Seguro de Vida
FUNC-0037,Marketing,Analista de Marketing Pl,Pleno,PE,Masculino,Branco,CLT 40h,Home Office,2021-02-12,,,Ativo,6150.85,8,3.4,0,Stock Options|Auxílio Creche|Plano Odontológico|Seguro de Vida
FUNC-0038,Tecnologia,Analista de Dados Sr,Sênior,RJ,Feminino,Branco,CLT 40h,Presencial,2024-06-18,,,Ativo,13973.53,25,3.9,0,Gympass|Auxílio Creche|Stock Options|Plano Odontológico|Seguro de Vida
FUNC-0039,Comercial,Analista Comercial Pl,Pleno,RS,Masculino,Pardo,PJ,Home Office,2016-07-26,,,Ativo,6193.16,22,3.7,11,Plano de Saúde|Stock Options|Plano Odontológico|Vale Transporte
FUNC-0040,Tecnologia,Desenvolvedor Backend Sr,Sênior,SP,Masculino,Branco,CLT 40h,Híbrido,2022-11-24,,,Ativo,14237.7,14,5.0,6,Plano Odontológico|PLR|Gympass|Plano de Saúde|Vale Refeição
FUNC-0041,Financeiro,Analista Financeiro Sr,Sênior,RJ,Feminino,Pardo,CLT 40h,Noturno,2023-10-03,,,Ativo,14232.88,15,3.8,5,Vale Refeição|Plano de Saúde|Auxílio Creche|Plano Odontológico|Seguro de Vida
FUNC-0042,Marketing,Coordenador de Marketing,Especialista,CE,Masculino,Branco,CLT 44h,Presencial,2024-11-17,,,Ativo,11834.74,11,4.6,4,Vale Transporte|Plano Odontológico|Plano de Saúde|Auxílio Creche|Gympass|Vale Refeição
FUNC-0043,Logística,Coordenador de Logística,Especialista,RS,Feminino,Pardo,CLT 40h,Presencial,,2024-07-05,Término de contrato,Desligado,8310.81,22,3.7,0,PLR|Vale Transporte|Stock Options|Vale Refeição|Plano de Saúde|Gympass
FUNC-0044,Logística,Assistente de Logística,Júnior,SP,Feminino,Branco,CLT 40h,Híbrido,2021-12-09,,,Ativo,2846.21,13,2.8,0,Home Office|Stock Options|Plano Odontológico
FUNC-0045,RH,Assistente de RH,Júnior,RJ,Feminino,Branco,PJ,Presencial,2018-11-21,,,Ativo,2508.36,15,3.2,3,Vale Refeição|Seguro de Vida|PLR
FUNC-0046,Comercial,Analista Comercial Pl,Pleno,SP,Masculino,Preto,CLT 44h,Híbrido,2016-07-07,2018-12-08,Desligamento por baixa performance,Desligado,4262.78,17,4.4,1,Gympass|Vale Transporte|Home Office|Auxílio Creche
FUNC-0047,Tecnologia,Desenvolvedor Backend Pl,Pleno,RJ,Feminino,Não Informado,CLT 44h,Híbrido,2017-05-07,2024-04-11,Pedido do colaborador,Desligado,9352.4,21,3.7,14,Seguro de Vida|Vale Transporte|Stock Options|Home Office
FUNC-0048,Comercial,Assistente Comercial,Júnior,PE,Feminino,Branco,CLT 44h,Presencial,2022-05-12,,,Ativo,3019.43,17,3.3,6,Vale Transporte|Gympass|Auxílio Creche
FUNC-0049,Comercial,Gerente Comercial,Gestão,SP,Feminino,Branco,CLT 40h,Home Office,2020-10-27,,,Ativo,20801.02,23,4.9,0,Home Office|Plano Odontológico|Seguro de Vida|Plano de Saúde|Auxílio Creche|Stock Options|Vale Refeição
FUNC-0050,Operações,Operador de Produção,Júnior,RS,Masculino,Branco,CLT 44h,Presencial,2021-10-02,2022-05-08,Término de contrato,Desligado,1911.83,11,3.7,0,Auxílio Creche|Vale Refeição|Gympass
FUNC-0051,Operações,Supervisor de Operações,Especialista,PE,Masculino,Pardo,PJ,Híbrido,2022-10-03,2023-08-28,Pedido do colaborador,Desligado,7861.05,22,3.9,1,PLR|Home Office|Plano de Saúde|Plano Odontológico|Vale Transporte|Vale Refeição
FUNC-0052,Marketing,Designer Sr,Sênior,SC,Feminino,Pardo,PJ,Home Office,2019-04-12,,,Ativo,7457.49,16,3.1,2,PLR|Plano de Saúde|Plano Odontológico|Home Office|Vale Refeição
FUNC-0053,Operações,Técnico de Operações Pl,Pleno,MG,Masculino,Branco,CLT 44h,Presencial,2016-01-20,2017-05-18,Desligamento sem justa causa,Desligado,3357.78,25,5.0,4,Home Office|Plano Odontológico|Vale Transporte|PLR
FUNC-0054,Marketing,Analista de Marketing Pl,Pleno,MG,Masculino,Pardo,CLT 44h,Presencial,2018-03-08,2021-08-01,Término de contrato,Desligado,5465.39,15,3.4,1,PLR|Gympass|Plano Odontológico|Stock Options
FUNC-0055,RH,Analista de RH Sr,Sênior,SP,Masculino,Branco,CLT 40h,Presencial,2015-11-08,,,Ativo,7053.6,14,3.9,7,Plano Odontológico|Auxílio Creche|Vale Transporte|Plano de Saúde|Gympass
FUNC-0056,Jurídico,Advogado Jr,Júnior,SP,Feminino,Não Informado,CLT 44h,Presencial,2016-07-20,2017-03-20,Desligamento sem justa causa,Desligado,4940.67,13,3.1,1,Gympass|Vale Refeição|Plano Odontológico
FUNC-0057,Marketing,Coordenador de Marketing,Especialista,RJ,Masculino,Pardo,CLT 40h,Híbrido,2016-01-16,,,Ativo,11023.93,6,4.3,7,Stock Options|Vale Transporte|Plano de Saúde|Plano Odontológico|Seguro de Vida|Home Office
FUNC-0058,Financeiro,Analista Financeiro Pl,Pleno,RJ,Feminino,Branco,CLT 44h,Presencial,2022-05-14,2024-10-05,Término de contrato,Desligado,8197.21,9,3.6,2,PLR|Plano Odontológico|Vale Refeição|Stock Options
FUNC-0059,Jurídico,Advogado Jr,Júnior,SC,Masculino,Amarelo,CLT 40h,Home Office,2021-02-01,2022-02-17,Desligamento sem justa causa,Desligado,4750.82,31,3.4,3,Stock Options|Plano de Saúde|Auxílio Creche
FUNC-0060,Comercial,Assistente Comercial,Júnior,SP,Masculino,Branco,CLT 44h,Híbrido,2023-10-26,2024-03-28,Desligamento sem justa causa,Desligado,2767.68,43,3.1,0,Seguro de Vida|Vale Refeição|PLR
FUNC-0061,Tecnologia,Desenvolvedor Frontend Sr,Sênior,PR,Feminino,Pardo,CLT 40h,Home Office,2024-08-20,,,Ativo,19827.28,8,4.0,0,Stock Options|Plano de Saúde|PLR|Auxílio Creche|Vale Refeição
FUNC-0062,Tecnologia,Tech Lead,Especialista,BA,Masculino,Amarelo,CLT 40h,Híbrido,2024-08-22,,,Ativo,24266.21,30,3.7,0,Stock Options|Gympass|PLR|Plano de Saúde|Auxílio Creche|Vale Transporte
FUNC-0063,Financeiro,Analista Financeiro Sr,Sênior,RJ,Masculino,Branco,CLT 44h,Híbrido,2022-06-08,,,Ativo,9367.64,12,3.0,2,PLR|Vale Transporte|Stock Options|Home Office|Plano de Saúde
FUNC-0064,Financeiro,Assistente Financeiro,Júnior,RJ,Feminino,Branco,CLT 40h,Presencial,2022-01-24,,,Ativo,2000.0,7,2.4,0,Stock Options|PLR|Plano de Saúde
FUNC-0065,Tecnologia,Desenvolvedor Backend Jr,Júnior,RS,Feminino,Branco,CLT 40h,Noturno,2017-11-10,,,Ativo,5197.82,28,3.5,2,Vale Transporte|Seguro de Vida|Gympass
FUNC-0066,Tecnologia,Analista de Dados Sr,Sênior,SP,Feminino,Branco,PJ,Presencial,2021-11-07,,,Ativo,14568.82,13,3.6,0,Seguro de Vida|Vale Refeição|Plano Odontológico|Vale Transporte|Home Office
FUNC-0067,Tecnologia,Analista de Dados Sr,Sênior,RS,Feminino,Branco,PJ,Híbrido,2023-01-17,2024-04-19,Reestruturação,Desligado,13599.75,41,3.1,1,Gympass|Stock Options|PLR|Seguro de Vida|Plano de Saúde
FUNC-0068,Comercial,Diretor Comercial,Diretoria,MG,Masculino,Pardo,CLT 40h,Home Office,2020-02-24,,,Ativo,49510.22,23,4.4,0,Gympass|Seguro de Vida|Vale Refeição|Stock Options|Home Office|Vale Transporte|Auxílio Creche|Plano Odontológico
FUNC-0069,Operações,Técnico de Operações Pl,Pleno,MG,Feminino,Branco,CLT 44h,Presencial,2018-08-01,2022-10-22,Pedido do colaborador,Desligado,4328.97,39,2.8,6,Plano de Saúde|Plano Odontológico|Seguro de Vida|Gympass
FUNC-0070,Marketing,Assistente de Marketing,Júnior,SP,Feminino,Pardo,CLT 40h,Home Office,2021-01-05,2024-06-15,Pedido do colaborador,Ativo,2283.69,37,3.1,4,Gympass|Vale Refeição|Stock Options
FUNC-0071,Operações,Técnico de Operações Pl,Pleno,RJ,Feminino,Pardo,CLT 44h,Presencial,2024-09-08,2024-06-15,Pedido do colaborador,Ativo,3307.47,69,3.7,6,Plano de Saúde|Vale Refeição|Vale Transporte|Stock Options
FUNC-0072,Operações,Supervisor de Operações,Especialista,SP,Masculino,Pardo,CLT 40h,Presencial,2022-08-14,,,Ativo,8610.92,13,4.0,1,Gympass|Vale Refeição|Home Office|Seguro de Vida|Auxílio Creche|Stock Options
FUNC-0073,Comercial,Analista Comercial Pl,Pleno,GO,Masculino,Pardo,PJ,Presencial,2017-12-09,2018-08-14,Desligamento por baixa performance,Desligado,5756.13,21,4.6,2,Vale Refeição|Gympass|PLR|Seguro de Vida
FUNC-0074,Marketing,Analista de Marketing Pl,Pleno,SP,Feminino,Não Informado,CLT 44h,Presencial,2018-11-01,2021-09-23,Aposentadoria,Desligado,5166.58,46,2.6,1,Seguro de Vida|Plano Odontológico|PLR|Plano de Saúde
FUNC-0075,Operações,Técnico de Operações Pl,Pleno,SC,Feminino,Não Informado,CLT 44h,Híbrido,2024-07-16,,,Ativo,4262.38,32,3.1,6,Auxílio Creche|Gympass|Plano Odontológico|Home Office
FUNC-0076,Operações,Operador de Produção,Júnior,GO,Masculino,Branco,CLT 40h,Presencial,2016-11-12,,,Ativo,1790.63,40,2.1,0,Plano de Saúde|Vale Refeição|Vale Transporte
FUNC-0077,Operações,Operador de Produção,Júnior,MG,Masculino,Preto,CLT 44h,Presencial,2024-11-03,,,Ativo,1855.0,16,3.2,1,Plano Odontológico|Vale Transporte|Vale Refeição
FUNC-0078,Tecnologia,Analista de Dados Pl,Pleno,BA,Feminino,Preto,CLT 44h,Presencial,2022-04-04,2024-09-20,Desligamento sem justa causa,Desligado,6993.11,24,2.6,9,PLR|Gympass|Vale Refeição|Plano de Saúde
FUNC-0079,Comercial,Analista Comercial Pl,Pleno,PR,Masculino,Branco,CLT 44h,Home Office,2024-07-28,,,Ativo,4574.87,20,3.5,8,Vale Transporte|Seguro de Vida|Home Office|Stock Options
FUNC-0080,Tecnologia,Desenvolvedor Frontend Pl,Pleno,PR,Feminino,Pardo,CLT 44h,Presencial,2019-06-17,2023-12-23,Desligamento sem justa causa,Desligado,9770.87,12,2.4,2,Vale Transporte|Home Office|Plano de Saúde|Plano Odontológico
FUNC-0081,RH,Gerente de RH,Gestão,MG,Feminino,Branco,CLT 40h,Híbrido,2024-12-08,,,Ativo,19352.24,17,4.8,0,Stock Options|Vale Transporte|Seguro de Vida|Plano de Saúde|Vale Refeição|Plano Odontológico|Gympass
FUNC-0082,Jurídico,Advogado Sr,Sênior,RJ,Feminino,Branco,CLT 40h,Híbrido,2019-06-18,,,Ativo,17046.82,11,4.3,0,Plano Odontológico|Home Office|Plano de Saúde|Gympass|PLR
FUNC-0083,Marketing,Coordenador de Marketing,Especialista,RS,Masculino,Branco,PJ,Presencial,2017-10-22,,,Ativo,12186.39,12,3.7,8,Plano Odontológico|Plano de Saúde|Seguro de Vida|Auxílio Creche|Home Office|Vale Transporte
FUNC-0084,RH,Analista de RH Pl,Pleno,PR,Feminino,Pardo,CLT 44h,Presencial,2023-12-24,,,Ativo,4856.37,19,4.1,21,Seguro de Vida|Plano Odontológico|Gympass|Auxílio Creche
FUNC-0085,Logística,Assistente de Logística,Júnior,RS,Masculino,Branco,CLT 44h,Presencial,2017-04-10,,,Ativo,2452.86,14,3.5,2,PLR|Home Office|Vale Refeição
FUNC-0086,Tecnologia,Analista de Dados Pl,Pleno,RJ,Masculino,Não Informado,CLT 44h,Híbrido,2019-01-09,,,Ativo,5993.03,52,4.3,5,PLR|Auxílio Creche|Plano Odontológico|Seguro de Vida
FUNC-0087,Operações,Coordenador de Operações,Especialista,BA,Feminino,Preto,CLT 44h,Presencial,2022-08-15,,,Ativo,10166.33,23,3.9,1,PLR|Plano de Saúde|Gympass|Auxílio Creche|Plano Odontológico|Seguro de Vida
FUNC-0088,Financeiro,Analista Financeiro Sr,Sênior,RJ,Feminino,Indígena,CLT 40h,Presencial,2018-08-25,2024-05-21,Término de contrato,Desligado,13300.04,2,4.7,5,Plano Odontológico|Plano de Saúde|Auxílio Creche|Gympass|Stock Options
FUNC-0089,Tecnologia,Desenvolvedor Frontend Pl,Pleno,MG,Feminino,Pardo,CLT 40h,Presencial,2022-10-17,2024-04-26,Pedido do colaborador,Desligado,8934.3,9,3.3,1,Auxílio Creche|Seguro de Vida|Vale Refeição|Plano de Saúde
FUNC-0090,Comercial,Analista Comercial Pl,Pleno,SP,Masculino,Branco,PJ,Home Office,2023-05-09,2024-06-12,Desligamento sem justa causa,Desligado,4529.58,28,3.0,1,Plano Odontológico|PLR|Home Office|Vale Transporte
FUNC-0091,Tecnologia,Analista de Dados Sr,Sênior,SP,Feminino,Branco,CLT 44h,Híbrido,2022-09-27,,,Ativo,12678.49,17,3.3,8,Home Office|Gympass|Plano de Saúde|PLR|Plano Odontológico
FUNC-0092,Comercial,Coordenador Comercial,Especialista,SP,Masculino,Branco,PJ,Home Office,2020-02-01,,,Ativo,11077.29,16,4.7,2,Gympass|Seguro de Vida|Home Office|Plano Odontológico|PLR|Auxílio Creche
FUNC-0093,Operações,Supervisor de Operações,Especialista,RJ,Feminino,Preto,PJ,Presencial,2016-10-11,,,Ativo,7923.57,11,4.7,9,Vale Refeição|Plano Odontológico|Vale Transporte|Seguro de Vida|Plano de Saúde|PLR
FUNC-0094,Operações,Técnico de Operações Pl,Pleno,SC,Masculino,Pardo,CLT 44h,Híbrido,2023-03-13,,,Ativo,6201.71,17,4.4,4,Auxílio Creche|Vale Transporte|Gympass|Stock Options
FUNC-0095,Financeiro,Assistente Financeiro,Júnior,SP,Feminino,Pardo,PJ,Híbrido,2017-01-14,2018-11-05,Desligamento sem justa causa,Desligado,2148.57,25,2.6,4,Plano Odontológico|Home Office|Plano de Saúde
FUNC-0096,RH,Coordenador de RH,Especialista,SP,Feminino,Pardo,CLT 40h,Noturno,2022-08-27,,,Ativo,11021.12,15,3.8,4,Vale Transporte|Plano de Saúde|Seguro de Vida|Home Office|PLR|Vale Refeição
FUNC-0097,Tecnologia,Desenvolvedor Backend Jr,Júnior,PR,Não Informado,Preto,CLT 40h,Presencial,2016-06-25,,,Ativo,4164.81,24,4.1,5,Seguro de Vida|Auxílio Creche|Home Office
FUNC-0098,Marketing,Designer Sr,Sênior,GO,Masculino,Branco,PJ,Presencial,2018-01-10,2023-10-23,Desligamento sem justa causa,Desligado,9999.05,14,4.0,2,Stock Options|Seguro de Vida|Plano Odontológico|Auxílio Creche|Home Office
FUNC-0099,Marketing,Analista de Marketing Pl,Pleno,RJ,Masculino,Pardo,CLT 44h,Home Office,2022-10-02,,,Ativo,6251.26,13,2.9,4,Vale Transporte|Vale Refeição|Stock Options|Auxílio Creche
FUNC-0100,Marketing,Analista de Marketing Pl,Pleno,BA,Masculino,Pardo,CLT 40h,Híbrido,2021-05-05,,,Ativo,5110.34,12,3.3,0,Vale Transporte|Plano Odontológico|Vale Refeição|Seguro de Vida
FUNC-0101,Operações,Técnico de Operações Pl,Pleno,SP,Feminino,Preto,CLT 40h,Presencial,2020-01-21,2024-11-29,Pedido do colaborador,Desligado,3184.51,34,3.2,1,Vale Refeição|Seguro de Vida|Auxílio Creche|Plano Odontológico
FUNC-0102,RH,Analista de RH Sr,Sênior,GO,Masculino,Pardo,CLT 44h,Home Office,2024-09-14,,,Ativo,6546.46,16,4.7,0,Vale Refeição|PLR|Plano de Saúde|Plano Odontológico|Stock Options
FUNC-0103,RH,Assistente de RH,Júnior,RJ,Feminino,Pardo,CLT 44h,Híbrido,2020-01-22,2020-10-18,Pedido do colaborador,Desligado,1917.41,17,3.7,1,Home Office|Plano de Saúde|Vale Refeição
FUNC-0104,Comercial,Consultor de Vendas Sr,Sênior,PR,Masculino,Pardo,CLT 44h,Presencial,2019-07-16,,,Ativo,9853.0,44,4.3,0,Vale Refeição|Auxílio Creche|Stock Options|Home Office|PLR
FUNC-0105,Jurídico,Advogado Pl,Pleno,RS,Masculino,Branco,CLT 44h,Home Office,2022-12-27,,,Ativo,,19,4.0,1,Plano de Saúde|Auxílio Creche|Vale Transporte|Stock Options
FUNC-0106,Logística,Assistente de Logística,Júnior,BA,Masculino,Preto,CLT 44h,Presencial,2021-03-25,,,Ativo,2817.37,27,3.4,1,Auxílio Creche|Seguro de Vida|Vale Refeição
FUNC-0107,Marketing,Designer Sr,Sênior,RJ,Masculino,Amarelo,PJ,Presencial,2020-08-20,,,Ativo,11856.71,20,3.9,1,Gympass|PLR|Plano de Saúde|Auxílio Creche|Vale Refeição
FUNC-0108,Comercial,Assistente Comercial,Júnior,GO,Não Informado,Branco,PJ,Presencial,2024-10-18,,,Ativo,2063.29,35,3.9,7,Vale Transporte|Stock Options|Home Office
FUNC-0109,Marketing,Assistente de Marketing,Júnior,PR,Feminino,Branco,CLT 44h,Home Office,2022-08-15,,,Ativo,2206.44,23,3.9,1,Stock Options|Vale Transporte|Seguro de Vida
FUNC-0110,Marketing,Analista de Marketing Pl,Pleno,MG,Feminino,Amarelo,CLT 44h,Híbrido,2021-06-19,2022-11-26,Pedido do colaborador,Desligado,,17,3.1,1,Seguro de Vida|Auxílio Creche|PLR|Home Office
FUNC-0111,RH,Assistente de RH,Júnior,SP,Não Informado,Branco,CLT 44h,Presencial,2016-08-26,2020-06-09,Desligamento sem justa causa,Desligado,2266.38,9,2.8,2,Auxílio Creche|Home Office|Plano Odontológico
FUNC-0112,Comercial,Coordenador Comercial,Especialista,RJ,Feminino,Pardo,CLT 40h,Noturno,2024-12-09,,,Ativo,9917.06,8,4.6,2,PLR|Vale Transporte|Vale Refeição|Home Office|Auxílio Creche|Gympass
FUNC-0113,Comercial,Consultor de Vendas Sr,Sênior,MG,Feminino,Amarelo,CLT 40h,Presencial,2024-08-04,,,Ativo,7135.9,24,4.2,3,Stock Options|PLR|Plano de Saúde|Plano Odontológico|Vale Transporte
FUNC-0114,Comercial,Assistente Comercial,Júnior,PR,Masculino,Não Informado,CLT 40h,Presencial,2024-01-18,,,Ativo,2322.35,25,3.5,1,Stock Options|Home Office|Vale Refeição
FUNC-0115,Tecnologia,Desenvolvedor Backend Sr,Sênior,SP,Masculino,Pardo,CLT 40h,Home Office,2022-06-21,2023-08-16,Pedido do colaborador,Desligado,17496.66,19,3.4,2,Plano de Saúde|Vale Refeição|Home Office|Seguro de Vida|Vale Transporte
FUNC-0116,Marketing,Assistente de Marketing,Júnior,SC,Masculino,Pardo,CLT 44h,Híbrido,2020-09-25,,,Ativo,2316.1,8,3.6,7,Vale Refeição|Vale Transporte|Home Office
FUNC-0117,Logística,Analista de Logística Pl,Pleno,SP,Masculino,Branco,CLT 40h,Presencial,2019-09-06,,,Ativo,4808.56,23,3.2,0,PLR|Plano Odontológico|Plano de Saúde|Vale Refeição
